Date dd.mm.yyy,Time hh:mm,"Solar declination angle, deg.","Sunrise time, h","Sunset time, h",Solar zenith angle cosine,"Solar altitude angle, deg.","Solar constant, Wh/m2",Solar irradiation at the boarder of the atmosphere PREDICTED,"Cloudiness, fact, p.u.","Temperature, fact, ˚С","Humidity, fact, %","Wind speed, fact, m/s","Solar power plant generation, fact, kWh"
26-09-2017,0.5,-2.217,6.775,18.465,0.652,20.348,1363.315,500.8286667,0.025,0,0,0,9411.36
26-09-2017,0.54,-2.217,6.775,18.465,0.658,40.911,1363.315,909.7614552,0.03,0,0,0,11911.2
26-09-2017,0.58,-2.217,6.775,18.465,0.617,39.598,1363.315,849.7116272,0.03,0,0,0,11460.12
26-09-2017,0.63,-2.217,6.775,18.465,0.532,35.093,1363.315,799.5183162,0,18,30,6.94,10206
26-09-2017,0.67,-2.217,6.775,18.465,0.408,28.112,1363.315,643.1165253,0,18,30,6.94,8143.8
26-09-2017,0.71,-2.217,6.775,18.465,0.256,19.459,1363.315,447.9670187,0,18,30,6.94,5238.24
26-09-2017,0.75,-2.217,6.775,18.465,0.083,9.795,1363.315,228.7156613,0,17.5,31,6.53,1984.08
26-09-2017,0.79,-2.217,6.775,18.465,0,2.391,1363.315,50.46155682,0,16.75,32.5,5.56,141.96
26-09-2017,0.83,-2.217,6.775,18.465,0,0,1363.315,0.286072993,0,15.75,34.5,3.89,0
26-09-2017,0.88,-2.217,6.775,18.465,0,0,1363.315,0.286072993,0,14.75,36.5,4.44,0
26-09-2017,0.92,-2.217,6.775,18.465,0,0,1363.315,0.286072993,0,13.75,39.5,6.32,0
26-09-2017,0.96,-2.217,6.775,18.465,0,0,1363.315,0,0,13,44,6.46,0
27-09-2017,0,-2.618,6.798,18.431,0,0,1364.09,0,0,12.75,44.75,5,0
27-09-2017,0.04,-2.618,6.798,18.431,0,0,1364.09,0,0,11.75,47,5.28,0
27-09-2017,0.08,-2.618,6.798,18.431,0,0,1364.09,0,0,10.75,47.75,6.11,0
27-09-2017,0.13,-2.618,6.798,18.431,0,0,1364.09,0,0,9.75,51,6.11,0
27-09-2017,0.17,-2.618,6.798,18.431,0,0,1364.09,0,0,9,55,5.83,0
27-09-2017,0.21,-2.618,6.798,18.431,0,0,1364.09,0,0,8.75,59,5.28,0
27-09-2017,0.25,-2.618,6.798,18.431,0,0,1364.09,1.746446602,0,8,62,5.83,0
27-09-2017,0.29,-2.618,6.798,18.431,0.036,1.043,1364.09,27.46559868,0,7.75,63,4.72,35.28
27-09-2017,0.33,-2.618,6.798,18.431,0.211,7.146,1364.09,164.3724846,0,7,66,4.17,1440.6
27-09-2017,0.38,-2.618,6.798,18.431,0.37,16.954,1364.09,403.0330625,0,7.25,65,5,4627.56
27-09-2017,0.42,-2.618,6.798,18.431,0.501,25.874,1364.09,615.7105922,0,8.5,60,5,7786.8
27-09-2017,0.46,-2.618,6.798,18.431,0.595,33.288,1364.09,747.770638,0,10.5,52.25,5.28,9938.04
27-09-2017,0.5,-2.618,6.798,18.431,0.647,38.421,1364.09,849.7116272,0.125,12.25,46.25,6.11,10984.68
27-09-2017,0.54,-2.618,6.798,18.431,0.652,40.514,1364.09,909.7614552,0.5,13,43.25,6.11,10599.12
27-09-2017,0.58,-2.618,6.798,18.431,0.611,39.189,1364.09,849.7116272,0.5,13.5,39.25,6.11,9088.8
27-09-2017,0.63,-2.618,6.798,18.431,0.526,34.69,1364.09,799.5183162,0.5,15,34,6.11,8217.72
27-09-2017,0.67,-2.618,6.798,18.431,0.402,27.725,1364.09,643.1165253,0.5,14.67,33.17,6.67,7073.64
27-09-2017,0.71,-2.618,6.798,18.431,0.249,19.088,1364.09,447.9670187,0.5,15,31,6.94,5701.92
27-09-2017,0.75,-2.618,6.798,18.431,0.077,9.437,1364.09,228.7156613,0.5,15,31,6.74,1262.52
27-09-2017,0.79,-2.618,6.798,18.431,0,2.214,1364.09,50.46155682,0.5,14.5,32.75,6.32,89.04
27-09-2017,0.83,-2.618,6.798,18.431,0,0,1364.09,0.286072993,0.5,12.5,40.25,6.46,0
27-09-2017,0.88,-2.618,6.798,18.431,0,0,1364.09,0,0.5,10.75,47.75,5.28,0
27-09-2017,0.92,-2.618,6.798,18.431,0,0,1364.09,0,0.5,10,50,5.56,0
27-09-2017,0.96,-2.618,6.798,18.431,0,0,1364.09,0,0.375,9.75,52,3.68,0
28-09-2017,0,-3.019,6.82,18.397,0,0,1364.865,0,0,9,58,3.26,0
28-09-2017,0.04,-3.019,6.82,18.397,0,0,1364.865,0,0,8.75,59,3.68,0
28-09-2017,0.08,-3.019,6.82,18.397,0,0,1364.865,0,0,7.75,63,2.78,0
28-09-2017,0.13,-3.019,6.82,18.397,0,0,1364.865,0,0,7,66,1.94,0
28-09-2017,0.17,-3.019,6.82,18.397,0,0,1364.865,0,0,6.5,68,2.87,0
28-09-2017,0.21,-3.019,6.82,18.397,0,0,1364.865,0,0,6,70,3.06,0
28-09-2017,0.25,-3.019,6.82,18.397,0,0,1364.865,1.746446602,0,5.75,71.5,2.78,0
28-09-2017,0.29,-3.019,6.82,18.397,0.032,0.927,1364.865,27.46559868,0,5,76,2.22,15.96
28-09-2017,0.33,-3.019,6.82,18.397,0.207,6.908,1364.865,164.3724846,0,5.5,73.5,3.26,1349.04
28-09-2017,0.38,-3.019,6.82,18.397,0.365,16.699,1364.865,403.0330625,0,7,66,3.89,2920.68
28-09-2017,0.42,-3.019,6.82,18.397,0.496,25.59,1364.865,589.9375243,0,17.8,51,1.16,5095.44
28-09-2017,0.46,-3.019,6.82,18.397,0.59,32.964,1364.865,747.770638,0,23.7,41,0,7292.04
28-09-2017,0.5,-3.019,6.82,18.397,0.642,38.056,1364.865,849.7116272,0,26.93,38,0,5538.12
28-09-2017,0.54,-3.019,6.82,18.397,0.647,40.119,1364.865,849.7116272,0,24.28,39,0.15,5236.56
28-09-2017,0.58,-3.019,6.82,18.397,0.605,38.781,1364.865,849.7116272,0,13.35,44.25,0.88,6123.6
28-09-2017,0.63,-3.019,6.82,18.397,0.52,34.289,1364.865,747.770638,0,14.1,42,1.78,3658.2
28-09-2017,0.67,-3.019,6.82,18.397,0.396,27.34,1364.865,643.1165253,0.333,14.33,39.83,0.39,4662.84
28-09-2017,0.71,-3.019,6.82,18.397,0.243,18.719,1364.865,447.9670187,0.5,14.5,40.5,0.15,4099.2
28-09-2017,0.75,-3.019,6.82,18.397,0.071,9.079,1364.865,228.7156613,0.5,13.73,48.75,0.44,840.84
28-09-2017,0.79,-3.019,6.82,18.397,0,2.038,1364.865,50.46155682,0.5,12.73,52.75,0,94.08
28-09-2017,0.83,-3.019,6.82,18.397,0,0,1364.865,0,0.5,11.13,60.25,0.15,0
28-09-2017,0.88,-3.019,6.82,18.397,0,0,1364.865,0,0.375,10.53,67.25,0.44,0
28-09-2017,0.92,-3.019,6.82,18.397,0,0,1364.865,0,0,10.13,68.75,0,0
28-09-2017,0.96,-3.019,6.82,18.397,0,0,1364.865,0,0.125,9.45,72.25,0,0
29-09-2017,0,-3.419,6.842,18.363,0,0,1365.641,0,0.375,8.7,76.75,0,0
29-09-2017,0.04,-3.419,6.842,18.363,0,0,1365.641,0,0,7.53,80.25,0,0
29-09-2017,0.08,-3.419,6.842,18.363,0,0,1365.641,0,0,6.55,84.5,0,0
29-09-2017,0.13,-3.419,6.842,18.363,0,0,1365.641,0,0,6.1,86,0,0
29-09-2017,0.17,-3.419,6.842,18.363,0,0,1365.641,0,0,5.8,87.67,0,0
29-09-2017,0.21,-3.419,6.842,18.363,0,0,1365.641,0,0,5.45,89.5,0,0
29-09-2017,0.25,-3.419,6.842,18.363,0,0,1365.641,1.746446602,0,5.2,91.25,0,0
29-09-2017,0.29,-3.419,6.842,18.363,0.028,0.812,1365.641,27.46559868,0,4.8,91.5,0.1,0
29-09-2017,0.33,-3.419,6.842,18.363,0.203,6.671,1365.641,164.3724846,0,4.95,87.25,0.29,1433.04
29-09-2017,0.38,-3.419,6.842,18.363,0.361,16.443,1365.641,403.0330625,0,7.23,75.75,0.28,4499.04
29-09-2017,0.42,-3.419,6.842,18.363,0.492,25.304,1365.641,589.9375243,0,10,66,1.11,7457.52
29-09-2017,0.46,-3.419,6.842,18.363,0.586,32.641,1365.641,747.770638,0,13.38,42.83,0.19,9587.76
29-09-2017,0.5,-3.419,6.842,18.363,0.637,37.692,1365.641,849.7116272,0,16.1,27.5,0.1,10489.92
29-09-2017,0.54,-3.419,6.842,18.363,0.641,39.724,1365.641,849.7116272,0.125,16.25,26.25,0.29,7366.8
29-09-2017,0.58,-3.419,6.842,18.363,0.6,38.375,1365.641,849.7116272,0.5,15.83,27,0,7368.48
29-09-2017,0.63,-3.419,6.842,18.363,0.514,33.888,1365.641,747.770638,0.5,15.9,27,0,7637.28
29-09-2017,0.67,-3.419,6.842,18.363,0.39,26.955,1365.641,615.7105922,0.167,16.35,27,0.26,7329.84
29-09-2017,0.71,-3.419,6.842,18.363,0.237,18.351,1365.641,431.0713008,0,16.68,26.5,0.39,4970.28
29-09-2017,0.75,-3.419,6.842,18.363,0.065,8.723,1365.641,197.3310938,0,16.53,26.25,0.42,1697.64
29-09-2017,0.79,-3.419,6.842,18.363,0,1.862,1365.641,50.46155682,0,14.7,31.75,0.38,89.88
29-09-2017,0.83,-3.419,6.842,18.363,0,0,1365.641,0.286072993,0,12.4,43,0.33,0
29-09-2017,0.88,-3.419,6.842,18.363,0,0,1365.641,0,0,11.5,63.25,1.2,0
29-09-2017,0.92,-3.419,6.842,18.363,0,0,1365.641,0,0,10.48,70.5,0.67,0
29-09-2017,0.96,-3.419,6.842,18.363,0,0,1365.641,0,0,9.95,72.5,0,0
30-09-2017,0,-3.818,6.865,18.329,0,0,1366.418,0,0,9.33,75.75,0,0
30-09-2017,0.04,-3.818,6.865,18.329,0,0,1366.418,0,0,8.55,82,0,0
30-09-2017,0.08,-3.818,6.865,18.329,0,0,1366.418,0,0,7.3,85.25,0,0
30-09-2017,0.13,-3.818,6.865,18.329,0,0,1366.418,0,0,5.65,87.5,0,0
30-09-2017,0.17,-3.818,6.865,18.329,0,0,1366.418,0,0,5.08,93,0,0
30-09-2017,0.21,-3.818,6.865,18.329,0,0,1366.418,0,0,4.8,95.5,0,0
30-09-2017,0.25,-3.818,6.865,18.329,0,0,1366.418,1.746446602,0,5.15,94.5,0,0
30-09-2017,0.29,-3.818,6.865,18.329,0.024,0.696,1366.418,27.46559868,0,5.2,96.75,0,25.2
30-09-2017,0.33,-3.818,6.865,18.329,0.199,6.433,1366.418,164.3724846,0,5.68,93.5,0,1413.72
30-09-2017,0.38,-3.818,6.865,18.329,0.357,16.186,1366.418,383.3894677,0,8,77,0,4454.52
30-09-2017,0.42,-3.818,6.865,18.329,0.487,25.018,1366.418,589.9375243,0,12.82,65.33,0.39,7111.44
30-09-2017,0.46,-3.818,6.865,18.329,0.581,32.316,1366.418,747.770638,0,16,54,0.58,7329.84
30-09-2017,0.5,-3.818,6.865,18.329,0.632,37.328,1366.418,799.5183162,0.375,16.68,45,0.44,8086.68
30-09-2017,0.54,-3.818,6.865,18.329,0.636,39.33,1366.418,849.7116272,0.578,16.95,40.75,0.29,8110.2
30-09-2017,0.58,-3.818,6.865,18.329,0.594,37.969,1366.418,849.7116272,0.813,17,40,0.38,3786.72
30-09-2017,0.63,-3.818,6.865,18.329,0.508,33.489,1366.418,747.770638,0.813,16.38,51.5,1.69,4376.4
30-09-2017,0.67,-3.818,6.865,18.329,0.384,26.572,1366.418,615.7105922,0.813,15.4,59,2.19,1578.36
30-09-2017,0.71,-3.818,6.865,18.329,0.231,17.984,1366.418,431.0713008,0.904,14.68,57.33,3.95,914.76
30-09-2017,0.75,-3.818,6.865,18.329,0.059,8.369,1366.418,197.3310938,0.95,13.93,59,3.88,483.84
30-09-2017,0.79,-3.818,6.865,18.329,0,1.687,1366.418,27.46559868,0.95,13.65,57.5,0.88,15.12
30-09-2017,0.83,-3.818,6.865,18.329,0,0,1366.418,0,0.95,13.4,54,1.63,0
30-09-2017,0.88,-3.818,6.865,18.329,0,0,1366.418,0,0.95,12.93,58.5,0.38,0
30-09-2017,0.92,-3.818,6.865,18.329,0,0,1366.418,0,0.95,12.28,64.75,0,0
30-09-2017,0.96,-3.818,6.865,18.329,0,0,1366.418,0,0.916,11.8,70,0,0
01-10-2017,0,-4.216,6.887,18.295,0,0,1367.194,0,0.847,11.35,72,0,0
01-10-2017,0.04,-4.216,6.887,18.295,0,0,1367.194,0,0.95,10.63,79,0,0
01-10-2017,0.08,-4.216,6.887,18.295,0,0,1367.194,0,0.916,9.58,80.5,0.1,0
01-10-2017,0.13,-4.216,6.887,18.295,0,0,1367.194,0,0.847,8.88,75.5,0.39,0
01-10-2017,0.17,-4.216,6.887,18.295,0,0,1367.194,0,0.95,8.73,73.75,0.29,0
01-10-2017,0.21,-4.216,6.887,18.295,0,0,1367.194,0,0.916,8.55,73.5,0,0
01-10-2017,0.25,-4.216,6.887,18.295,0,0,1367.194,1.746446602,0.813,8.5,75,0,0
01-10-2017,0.29,-4.216,6.887,18.295,0.02,0.58,1367.194,27.46559868,0.813,7.53,74.25,0,7.56
01-10-2017,0.33,-4.216,6.887,18.295,0.195,6.195,1367.194,164.3724846,0.734,6.78,69,0,572.04
01-10-2017,0.38,-4.216,6.887,18.295,0.352,15.929,1367.194,383.3894677,0.5,8.63,59,0.22,1601.88
01-10-2017,0.42,-4.216,6.887,18.295,0.482,24.732,1367.194,589.9375243,0.375,11.15,55.5,0.79,7402.08
01-10-2017,0.46,-4.216,6.887,18.295,0.576,31.992,1367.194,709.0939333,0,12.2,53,0.52,9722.16
01-10-2017,0.5,-4.216,6.887,18.295,0.626,36.965,1367.194,799.5183162,0,12.6,48.75,0.99,11376.96
01-10-2017,0.54,-4.216,6.887,18.295,0.631,38.937,1367.194,849.7116272,0,14,45,1.85,11780.16
01-10-2017,0.58,-4.216,6.887,18.295,0.588,37.565,1367.194,849.7116272,0.125,14.6,45,1.05,11110.68
01-10-2017,0.63,-4.216,6.887,18.295,0.502,33.092,1367.194,747.770638,0.5,14.7,44.5,1.46,9886.8
01-10-2017,0.67,-4.216,6.887,18.295,0.378,26.19,1367.194,615.7105922,0.5,15.05,43.25,0.38,8076.6
01-10-2017,0.71,-4.216,6.887,18.295,0.225,17.619,1367.194,431.0713008,0.5,14.85,45.5,0.3,5487.72
01-10-2017,0.75,-4.216,6.887,18.295,0.053,8.016,1367.194,197.3310938,0.5,13.45,50.25,1.28,1323.84
01-10-2017,0.79,-4.216,6.887,18.295,0,1.513,1367.194,27.46559868,0.5,12.2,53,1.88,36.96
01-10-2017,0.83,-4.216,6.887,18.295,0,0,1367.194,0,0.5,11.58,58.5,2.28,0
01-10-2017,0.88,-4.216,6.887,18.295,0,0,1367.194,0,0.5,11.45,57.75,0.44,0
01-10-2017,0.92,-4.216,6.887,18.295,0,0,1367.194,0,0.5,11.25,60,0.53,0
01-10-2017,0.96,-4.216,6.887,18.295,0,0,1367.194,0,0.5,10.98,60.75,0.29,0
02-10-2017,0,-4.612,6.91,18.262,0,0,1367.971,0,0.578,10.53,62.75,0.28,0
02-10-2017,0.04,-4.612,6.91,18.262,0,0,1367.971,0,0.813,10.13,62.75,1.13,0
02-10-2017,0.08,-4.612,6.91,18.262,0,0,1367.971,0,0.734,9.35,66.25,1.3,0
02-10-2017,0.13,-4.612,6.91,18.262,0,0,1367.971,0,0.375,8.23,71.75,1.49,0
02-10-2017,0.17,-4.612,6.91,18.262,0,0,1367.971,0,0,6.93,79,1.33,0
02-10-2017,0.21,-4.612,6.91,18.262,0,0,1367.971,0,0,6.3,86.25,1.9,0
02-10-2017,0.25,-4.612,6.91,18.262,0,0,1367.971,1.746446602,0,5.78,90.75,1.41,0
02-10-2017,0.29,-4.612,6.91,18.262,0.016,0.464,1367.971,1.746446602,0,4.88,93.5,0.9,5.88
02-10-2017,0.33,-4.612,6.91,18.262,0.191,5.956,1367.971,164.3724846,0.125,4.58,94.25,1.04,456.96
02-10-2017,0.38,-4.612,6.91,18.262,0.348,15.672,1367.971,383.3894677,0.5,5.7,92,0.58,2265.48
02-10-2017,0.42,-4.612,6.91,18.262,0.478,24.445,1367.971,536.4635446,0.083,8.05,81.17,1.63,3768.24
02-10-2017,0.46,-4.612,6.91,18.262,0.571,31.668,1367.971,709.0939333,0.125,10.08,72.5,1.5,7199.64
02-10-2017,0.5,-4.612,6.91,18.262,0.621,36.602,1367.971,799.5183162,0.5,11.5,63.5,0.28,7818.72
02-10-2017,0.54,-4.612,6.91,18.262,0.625,38.545,1367.971,849.7116272,0.578,11.55,58,1.74,6291.6
02-10-2017,0.58,-4.612,6.91,18.262,0.583,37.162,1367.971,799.5183162,0.813,11.5,55.25,2.91,4731.72
02-10-2017,0.63,-4.612,6.91,18.262,0.496,32.696,1367.971,747.770638,0.734,10.93,53,2.34,3517.92
02-10-2017,0.67,-4.612,6.91,18.262,0.372,25.81,1367.971,615.7105922,0.5,11,45.5,5.97,3183.6
02-10-2017,0.71,-4.612,6.91,18.262,0.219,17.255,1367.971,403.0330625,0.5,11.25,45.5,5,2440.2
02-10-2017,0.75,-4.612,6.91,18.262,0.047,7.665,1367.971,197.3310938,0.5,12,41,4.72,1778.28
02-10-2017,0.79,-4.612,6.91,18.262,0,1.34,1367.971,27.46559868,0.5,11.75,41,3.89,45.36
02-10-2017,0.83,-4.612,6.91,18.262,0,0,1367.971,0.286072993,0.5,11,41.75,3.68,0
02-10-2017,0.88,-4.612,6.91,18.262,0,0,1367.971,0.286072993,0.5,10.75,43,3.82,0
02-10-2017,0.92,-4.612,6.91,18.262,0,0,1367.971,0.286072993,0.5,10,40,5.83,0
02-10-2017,0.96,-4.612,6.91,18.262,0,0,1367.971,0.286072993,0.5,9.5,42.5,4.51,0
03-10-2017,0,-5.007,6.932,18.228,0,0,1368.747,0,0.375,7.75,51.75,2.78,0
03-10-2017,0.04,-5.007,6.932,18.228,0,0,1368.747,0,0,7.25,56,1.94,0
03-10-2017,0.08,-5.007,6.932,18.228,0,0,1368.747,0,0,8,53,2.22,0
03-10-2017,0.13,-5.007,6.932,18.228,0,0,1368.747,0,0,7.75,54,3.06,0
03-10-2017,0.17,-5.007,6.932,18.228,0,0,1368.747,0,0,6.75,58,3.06,0
03-10-2017,0.21,-5.007,6.932,18.228,0,0,1368.747,0,0,5.5,63.25,2.78,0
03-10-2017,0.25,-5.007,6.932,18.228,0,0,1368.747,1.746446602,0,3.75,71.25,2.22,0
03-10-2017,0.29,-5.007,6.932,18.228,0.012,0.348,1368.747,1.746446602,0,2.75,76.5,2.78,15.96
03-10-2017,0.33,-5.007,6.932,18.228,0.186,5.717,1368.747,121.7193277,0,2.25,79.5,1.94,1453.2
03-10-2017,0.38,-5.007,6.932,18.228,0.343,15.414,1368.747,383.3894677,0,3,75,1.94,4740.12
03-10-2017,0.42,-5.007,6.932,18.228,0.473,24.157,1368.747,536.4635446,0,5.5,61.33,2.69,8061.48
03-10-2017,0.46,-5.007,6.932,18.228,0.566,31.343,1368.747,709.0939333,0,7.75,49.75,3.54,10442.88
03-10-2017,0.5,-5.007,6.932,18.228,0.616,36.239,1368.747,799.5183162,0,10,39.25,5.28,11846.52
03-10-2017,0.54,-5.007,6.932,18.228,0.62,38.154,1368.747,849.7116272,0,10.25,35.25,5.83,12347.16
03-10-2017,0.58,-5.007,6.932,18.228,0.577,36.761,1368.747,799.5183162,0,11.25,28.5,4.72,11886
03-10-2017,0.63,-5.007,6.932,18.228,0.49,32.302,1368.747,747.770638,0,12,24,4.17,10562.16
03-10-2017,0.67,-5.007,6.932,18.228,0.366,25.432,1368.747,589.9375243,0,12,24,5,8307.6
03-10-2017,0.71,-5.007,6.932,18.228,0.213,16.894,1368.747,403.0330625,0,12,28,4.81,5202.12
03-10-2017,0.75,-5.007,6.932,18.228,0.041,7.316,1368.747,164.3724846,0,11.75,30,5,1781.64
03-10-2017,0.79,-5.007,6.932,18.228,0,1.168,1368.747,27.46559868,0,10.5,30,4.72,52.92
03-10-2017,0.83,-5.007,6.932,18.228,0,0,1368.747,0.286072993,0,8.5,32.25,3.4,0
03-10-2017,0.88,-5.007,6.932,18.228,0,0,1368.747,0.286072993,0,7,40.75,1.94,0
03-10-2017,0.92,-5.007,6.932,18.228,0,0,1368.747,0,0,6.5,48.75,1.74,0
03-10-2017,0.96,-5.007,6.932,18.228,0,0,1368.747,0,0,4.25,59,0.83,0
04-10-2017,0,-5.401,6.955,18.195,0,0,1369.522,0,0,1.75,66.25,0,0
04-10-2017,0.04,-5.401,6.955,18.195,0,0,1369.522,0,0,1,72.75,0.49,0
04-10-2017,0.08,-5.401,6.955,18.195,0,0,1369.522,0,0,1,81,1.94,0
04-10-2017,0.13,-5.401,6.955,18.195,0,0,1369.522,0,0,0.75,80.75,1.74,0
04-10-2017,0.17,-5.401,6.955,18.195,0,0,1369.522,0,0,0,78.75,0.83,0
04-10-2017,0.21,-5.401,6.955,18.195,0,0,1369.522,0,0,0,75,0,0
04-10-2017,0.25,-5.401,6.955,18.195,0,0,1369.522,1.746446602,0,-0.67,83.17,0.93,0
04-10-2017,0.29,-5.401,6.955,18.195,0.008,0.232,1369.522,1.746446602,0,-1,86,0.83,11.76
04-10-2017,0.33,-5.401,6.955,18.195,0.182,5.478,1369.522,121.7193277,0,-0.5,83.25,0.28,1485.96
04-10-2017,0.38,-5.401,6.955,18.195,0.339,15.155,1369.522,354.1946869,0,1,75,1.11,4799.76
04-10-2017,0.42,-5.401,6.955,18.195,0.468,23.87,1369.522,536.4635446,0,5.33,55.5,1.48,7953.96
04-10-2017,0.46,-5.401,6.955,18.195,0.561,31.019,1369.522,709.0939333,0,8.25,39.75,2.43,10212.72
04-10-2017,0.5,-5.401,6.955,18.195,0.611,35.877,1369.522,799.5183162,0,9.25,30,3.68,11414.76
04-10-2017,0.54,-5.401,6.955,18.195,0.614,37.764,1369.522,849.7116272,0,10.5,29.5,2.78,11715.48
04-10-2017,0.58,-5.401,6.955,18.195,0.571,36.362,1369.522,799.5183162,0,12.25,27.5,1.74,11300.52
04-10-2017,0.63,-5.401,6.955,18.195,0.485,31.91,1369.522,709.0939333,0,13,26.75,1.6,10064.88
04-10-2017,0.67,-5.401,6.955,18.195,0.36,25.056,1369.522,589.9375243,0,13,29,3.06,7936.32
04-10-2017,0.71,-5.401,6.955,18.195,0.207,16.535,1369.522,403.0330625,0,14.33,25.83,1.99,5007.24
04-10-2017,0.75,-5.401,6.955,18.195,0.035,6.969,1369.522,164.3724846,0,14.75,25.5,1.74,1692.6
04-10-2017,0.79,-5.401,6.955,18.195,0,0.997,1369.522,27.46559868,0,13.5,28.5,0.83,40.32
04-10-2017,0.83,-5.401,6.955,18.195,0,0,1369.522,0.286072993,0,11.5,33.5,0.49,0
04-10-2017,0.88,-5.401,6.955,18.195,0,0,1369.522,0.286072993,0,9.25,41.5,2.22,0
04-10-2017,0.92,-5.401,6.955,18.195,0,0,1369.522,0,0,6.5,63.25,2.78,0
04-10-2017,0.96,-5.401,6.955,18.195,0,0,1369.522,0,0,4.75,71.25,1.74,0
05-10-2017,0,-5.793,6.977,18.162,0,0,1370.297,0,0,3.75,75,1.11,0
05-10-2017,0.04,-5.793,6.977,18.162,0,0,1370.297,0,0,3,76.5,0.83,0
05-10-2017,0.08,-5.793,6.977,18.162,0,0,1370.297,0,0,2.5,81,0,0
05-10-2017,0.13,-5.793,6.977,18.162,0,0,1370.297,0,0,1,81,0,0
05-10-2017,0.17,-5.793,6.977,18.162,0,0,1370.297,0,0,1.33,85,0.74,0
05-10-2017,0.21,-5.793,6.977,18.162,0,0,1370.297,0,0,0.75,87,0.83,0
